A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Abdomen	ᎠᏍᏆᏁᎦᎸᎢ	[asgwaneːgalvʔi] (his) /rrd/
Above	ᎦᎸᎳᏗᏣ	[galvːladitsa] /rrd/
Accipiter striatus	ᏗᎦᎦᏛᎾᎯᏛ	[digaːgdvnahiːdv] /rrd/
Accordian	ᏗᎫᏣᎾᎩᏍᏗ	[diguːtsanagiːsdi] /rrd/
Acer rubrum	ᎩᎦᎨᏨᏩᎩ	[gigageːtsvːhwagi] /rrd/
Acer saccharum	ᏧᏩᎩ	[tsuːwaːgi] /rrd/
Aching	ᎤᏪᎯᏍᏓᏁᎭ	[uːweːhisdaːneha] /rrd/
Acne	ᏛᎬᎾ	[dvgvːna] /rrd/
Acorn	ᎫᎴ	[guːle] /rrd/
Acorus calamus	ᎤᏲᏓᎵ	[uyoːdaːhli] /rrd/
Acquainted with him	ᎪᎵᎦ	[goːlhga] /rrd/
Acre	ᏑᏥᎶᏓ	[sutsiloːda] /rrd/
Acrididae	ᎥᎴ	[vːle] /rrd/
Acting	ᎠᏛᏁᎵᎭ	[advːneːliha] /rrd/
Acting up	ᎠᏛᏁᎵᎭ	[advːneliha] /rrd/
Actor	ᎠᏛᏁᎵᏍᎩ	[advːneːlihsgi] /rrd/
Adam's needle	ᏎᎷᏉᏯ	[seːlugwoya] /rrd/
Adding	ᎠᏌᏂᏙᎭ	[ahsaniːdoha] /rrd/
Adding someone to a group	ᎨᎳᏗᎠ	[géhladiʔa] /rrd/
Admiring it	ᎠᏍᏆᏂᎪᏍᎦ	[ahsgwánigohsga] /rrd/
Aesculus pavia	ᎤᏍᏆᏙ	[uhsgwado] /rrd/
Aesculus pavia	ᏧᏆᏆ	[tsuːgwaːgwa] /rrd/
Affadavit	ᎠᏎᎵᏓᏅ	[aselidaːnv] /rrd/
Afraid of	ᎠᏍᎦᎢᎭ	[ahsgaʔiha] /rrd/
After a while	ᎪᎯ	[goːhi] /rrd/
After a while	ᎪᎯᎩᎳ	[gohigila] /rrd/
Afternoon	ᏒᎯᏰᏱᏗᏣ	[svhiyeyhditsa] /rrd/
Afterwards	ᎤᎶᏐᏅ	[uloːsonv] /rrd/
Again	ᏏᏉ	[sigwo] /rrd/
Agkistrodon contortrix	ᏬᏗᎨᎠᏍᎪᎵ	[woːdigeːasgoːli] /rrd/
Agkistrodon piscivorus	ᎧᏁᏉᏓ	[kaneːgwoːda] /rrd/
Agony	ᎠᎩᎵᏲᎦ	[agiːhlíyoʔga] (in) /rrd/
Agreeing	ᎪᎯᏳᎲᏍᎦ	[gohíːyuhvːsga] /rrd/
Airplane	ᏥᏳ	[tsiːyu] /rrd/
Alive	ᎡᎭ	[eha] /rrd/
All	ᏂᎦᏓ	[nigaːda] /rrd/
Allegheny serviceberry	ᎤᏙᎳᏂ	[udoːlani] /rrd/
Alligator	ᏧᎳᏍᎩ	[tsuːlasgi] /rrd/
Alligator mississippiensis	ᏧᎳᏍᎩ	[tsuːlasgi] /rrd/
Allium cepa	ᏒᎩ	[svːgi] /rrd/
Allium tricoccum	ᎤᏩᏍᏗ	[uwahsdi] /rrd/
Almost	ᏎᎦᏨ	[seːgaːtsv] /rrd/
Alnus serrulata	ᎠᏤᏓ	[aːhtseːhd] /rrd/
Alone	ᎤᏩᏌ	[uːwahsa] /rrd/
Already	ᎦᏳᎳ	[gaːyuːla] /rrd/
Alright	ᎭᏩ	[hawa] /rrd/
Always	ᏂᎪᎯᎸᎢ	[nigoːhilvʔi] /rrd/
Amaranthus spinosus	ᏙᎳᏗᏳᏍᏗ	[toːhldiyusdi] /rrd/
Amaranthus viridis	ᏩᏥᎦ	[watsga] /rrd/
Ambrosia trifida	ᎤᏆᏍᏓᎷᏱᏓ	[ugwasdaːluhyda] /rrd/
Amelanchier laevis	ᎤᏙᎳᏂ	[udoːlani] /rrd/
American beech	ᎫᏏ	[kuːsi] /rrd/
American black bear	ᏲᎾ	[yoːna] /rrd/
American black elderberry	ᎪᏒᎦ	[goːsvʔga] /rrd/
American chestnut	ᏘᎵ	[tiːli] /rrd/
American chinquapin	ᎤᏅᎩᏅ	[uhnvgiːnv] /rrd/
American eagle	ᎠᏬᎯᎵ	[awohili] /rrd/
American hazelnut	ᎠᏳᎩᏓ	[ahyugiːda] /rrd/
American kestrel	ᎩᎩ	[giːgi] /rrd/
American robin	ᏥᏍᏉᏉ	[tsiːsgwoːgwo] /rrd/
American sycamore	ᎫᏫᏳᎦᏍᏗ	[kuːhwiːyugsdi] /rrd/
American tiger lily	ᎧᎾᎫᏣᏘ	[kaːhnguːtsati] /rrd/
American walking fern	ᎢᎾᏓ ᎦᏁᎦ	[iːnada gahnga] /rrd/
American willow	ᏗᎵᎦᎵᏍᎩ	[diːligalisgi] /rrd/
American witch-hazel	ᎦᎾᏑᏛᎶ	[gansuːdvlo] /rrd/
Amphicarpaea bracteata	ᏚᏯ ᎢᎾᎨᎢ	[tuːya inageʔi] /rrd/
Amusing himself	ᎠᏍᏆᏂᎪᏒᎥᏍᎦ	[asgwaːnigosvʔvsga] /rrd/
And	ᎠᎴ	[aleː] /rrd/
And	ᏃᎴ	[noːle] /rrd/
Andropogon virginicus	ᎧᏁᏍᎦ ᏬᏗ	[kaneːsga woːdi] /rrd/
Angelico	ᏩᏁᎩᏓ	[waneːgida] /rrd/
Angry	ᎤᎿᎦᎸᎭ	[uːhnagalvha] /rrd/
Angry	ᎤᎿᎦᎸᎦ	[uːhnagalvʔga] (becoming) /rrd/
Anguilla rostrata	ᏛᏕᏆ	[tvːdeːgwa] /rrd/
Ankle	ᎦᏅᏒᏨᎢ	[ganvːsvtsvʔi] (his) /rrd/
Ant	ᏙᏒᏓᎵ	[doːsvdaːli] /rrd/
Antlers	ᏧᏲᏂ	[tsuːhyoːni] /rrd/
Antrostomus vociferus	ᏩᎫᎵ	[waguːli] /rrd/
Anus	ᎤᎦᏎᏂ	[uːkseːni] (his) /rrd/
Anxious	ᎤᎶᏅᏤᎭ	[uːloːnv́ːtseha] /rrd/
Any	ᎢᏳᏍᏗᏉ	[iːyusdigwo] /rrd/
Anything	ᎦᎱᏍᏗ	[gahusdi] /rrd/
Anytime	ᎢᏳᏉ	[iːyuːgwo] /rrd/
Appears as	ᏂᎬᏫᏍᏗ	[nigvːwhsdi] /rrd/
Apple	ᏒᎦᏔ	[svːkta] (all varieties) /rrd/
Applying brakes	ᎦᏅᏐᎯᎭ	[ganvːsóhiha] /rrd/
Approving it	ᎠᏍᏓᏱᏗᎠ	[ahsdaʔyíːdiʔa] /rrd/
April	ᎧᏬᏄ	[kawoːnu] /rrd/
Apron	ᎠᏤᏌᏙ	[atseːsado] /rrd/
Archilochus colubris	ᏩᎴᎳ	[waːlela] /rrd/
Ardea herodias	ᎧᏂᏍᎦᏩ	[kanisgawa] /rrd/
Arguing	ᎠᏘᏲᎯᎭ	[atiyóhiha] /rrd/
Arisaema triphyllum	ᏙᏒᎾ ᎢᎾᎨ ᎡᎯ	[doːsvna inage ehi] /rrd/
Arisaema triphyllum	ᏚᏯᏍᏗ	[duyasdi] /rrd/
Arising from lying	ᎠᏗᏗᎠ	[adiːdiʔa] /rrd/
Arm	ᎦᏃᎨᏂ	[gaːhnoːgeːni] (his) /rrd/
Armillaria mellea	ᎤᏂᎶᏇ	[uniloːgwe] /rrd/
Armillaria mellea	ᏧᏂᎶᏇ	[tsuːniːhloːgwe] /rrd/
Armpit	ᎦᏍᎨᏂ	[gasgeːni] (his) /rrd/
Arriving	ᎦᎷᎦ	[gaʔluhga] /rrd/
Arrow	ᎦᏓᎵᏓ	[gaːdaːhlida] /rrd/
Arrowheads	ᏚᏫᏍᎦᎵ	[duwisgali] /rrd/
Arthritis	ᏗᏙᎴᏍᎩ	[didoːleːsgi] /rrd/
Arundinaria spp	ᎢᏯ	[iːhya] /rrd/
As long as	ᎢᎪᎯᏛ	[iːgohiːdv] /rrd/
Ash	ᏧᎦᏃᏅ	[tsuːganoːnv] (tree) /rrd/
Ashamed	ᎠᏕᎰᏍᎦ	[adehóhsga] /rrd/
Ashes	ᎪᏍᏓ	[kosda] /rrd/
Ashes	ᎪᏍᏚᎯ	[koːsduhi] (in) /rrd/
Asheville, N.C	ᏙᎩᏯᏍᏗ	[toːgiyaːsdi] /rrd/
Asio otus	ᏥᎩᎵ	[tsgiːli] /rrd/
Asking	ᎠᏔᏲᎯᎭ	[ahtayohiha] /rrd/
Asking a question	ᎠᏓᏛᏛᎲᏍᎦ	[adatv́ːdvhvhsga] /rrd/
Asking for	ᎠᏔᏲᎯᎭ	[ahtayohiha] /rrd/
Asking him for it	ᎠᏔᏲᏎᎭ	[ahtayóhseha] /rrd/
Asking him to do …	ᎦᏅᏍᎦ	[ganvːsga] /rrd/
Asleep	ᎦᎵᎭ	[gaːhliha] /rrd/
Asplenium rhizophyllum	ᎢᎾᏓ ᎦᏁᎦ	[iːnada gahnga] /rrd/
Assaulting him	ᎦᎵᎥᏂᎭ	[galiʔvːniːha] /rrd/
Assembling them	ᏓᏰᎧᎳᏍᎦ	[daːyekaːhlaːsga] /rrd/
Assembling together	ᎠᎾᏓᏥᎩᎭ	[anadadsgiha] (they are) /rrd/
Attached to it	ᎦᏯᎸᏅᎦ	[gayalvːnga] /rrd/
Attaching it to something	ᎠᏯᎸᎥᏍᎦ	[ayalvʔvhsga] /rrd/
Attending	ᎨᎳᏗᏙᎭ	[keladíːdoha] /rrd/
Attractive	ᎤᏬᏚᎭ	[uːwoːduha] /rrd/
Auctioneer	ᎦᎾᏗᏍᎩ	[gandisgi] /rrd/
August	ᎦᎶᏂ	[galoːni] /rrd/
Automobile	ᏓᏆᎴᎷ	[daːgwaleːlu] /rrd/
Autumn	ᎤᎶᎪᎰᏍᏗ	[uloːgohosdi] /rrd/
Awhile	ᏎᎦ	[seːga] /rrd/
Axe	ᎦᎷᏱᏍᏗ	[galuʔyhsdi] /rrd/
Aztec tobacco	ᏦᎳ ᎠᎦᏴᎵ	[tsoːla agayvːli] /rrd/
Baby	ᎤᏍᏗᎢ	[uhsdiːʔi] /rrd/
Baby sitting	ᎠᏓᎦᏘᏰᎭ	[adaːktiʔyeːha] /rrd/
Back, the lower part	ᎦᏖᏍᎨᏂ	[gateːsgeːni] (his) /rrd/
Bad	ᎤᏲᎢ	[uːyoːʔi] /rrd/
Bad	ᎠᏲᎦ	[ayoːga] (becoming) /rrd/
Baeolophus bicolor	ᎤᏧᎩ	[utsuːgi] /rrd/
Bag	ᏕᎦᎵᏗ	[degaːhldi] /rrd/
Baking bread	ᏕᎦᏚᎲᏍᎦ	[deːgaːduhvːsga] /rrd/
Bald	ᎤᎨᏬᏗ	[uːgeːwoːdi] /rrd/
Bald eagle	ᎠᏬᎯᎵ	[awohili] /rrd/
Ball	ᎠᎳᏍᎦᎶᏗ	[ahlsgahldi] /rrd/
